word,lemma,freq
dragon,dragon,883
flew,fly,882
lost,lose,879
across,across,873
class,class,870
care,care,864
catch,catch,861
four,four,860
almost,almost,859
daddy,daddy,853
watch,watch,853
pumpkin,pumpkin,852
wrong,wrong,849
feeling,feel,848
call,call,846
brown,brown,846
egg,egg,845
papa,papa,845
five,five,842
playing,play,839
nose,nose,835
loves,love,835
written,write,835
real,real,832
window,window,829
leave,leave,829
yellow,yellow,828
true,true,828
believe,believe,826
jack,jack,825
both,both,821
stopped,stop,820
use,use,818
check,check,815
enjoyed,enjoy,812
mommy,mommy,810
hungry,hungry,810
later,later,808
super,super,807
filled,fill,807
black,black,806
pink,pink,803
happened,happen,801
wants,want,801
flowers,flower,800
guess,guess,798
teeth,tooth,797
goes,go,793
cake,cake,793
pulled,pull,793
garden,garden,792
scary,scary,791
front,front,790
tail,tail,788
quiet,quiet,787
tom,tom,787
share,share,787
worry,worry,786
fall,fall,786
lady,lady,784
forest,forest,781
wind,wind,779
smile,smile,778
jumped,jump,776
duck,duck,775
funny,funny,774
having,have,771
hands,hand,770
dinner,dinner,763
opened,open,761
instead,instead,760
brought,bring,760
dance,dance,757
fine,fine,754
witch,witch,752
though,though,739
car,car,739
decided,decide,736
comes,come,735
close,close,735
few,few,735
live,live,734
rock,rock,734
stories,story,730
hi,hi,728
silly,silly,726
bring,bring,725
ate,eat,720
giant,giant,718
forget,forget,718
fire,fire,718
job,job,716
part,part,715
frog,frog,709
gold,gold,709
wonderful,wonderful,709
everybody,everybody,705
surprise,surprise,700
already,already,699
others,other,697
floor,floor,696
fox,fox,693
loud,loud,690
rest,rest,687
alone,alone,687
yet,yet,687
table,table,685
lunch,lunch,685
princess,princess,684
god,god,684
waiting,wait,681
paper,paper,681
wolf,wolf,679
birds,bird,678
learn,learn,677
dinosaur,dinosaur,676
na,to,675
page,page,674
gon,go,669
safe,safe,668
shoes,shoe,665
past,past,664
hold,hold,663
wonder,wonder,663
stars,star,661
mind,mind,661
tall,tall,660
grew,grow,660
sing,sing,658
whispered,whisper,658
stood,stand,657
afraid,afraid,657
late,late,656
grow,grow,655
poor,poor,655
hide,hide,655
busy,busy,653
flying,fly,652
tired,tired,647
boat,boat,646
gets,get,645
strong,strong,642
quickly,quickly,639
birthday,birthday,638
trying,try,637
picked,pick,636
toys,toy,635
earth,earth,634
bus,bus,632
winter,winter,632
lived,live,632
smell,smell,632
halloween,halloween,631
round,round,631
brave,brave,631
thinking,think,631
cream,cream,631
knows,know,630
fluffy,fluffy,629
parents,parent,626
asleep,asleep,624
onto,onto,623
kept,keep,620
river,river,620
dream,dream,617
ah,ah,617
ride,ride,617
likes,like,616
stuck,stick,615
rain,rain,615
song,song,614
everywhere,everywhere,614
pie,pie,611
word,word,610
listen,listen,609
clean,clean,607
sheep,sheep,605
excited,excited,605
replied,reply,603
owl,owl,603
chocolate,chocolate,603
fairy,fairy,599
plan,plan,598
grandpa,grandpa,597
music,music,596
prince,prince,596
jump,jump,596
kitchen,kitchen,595
hole,hole,594
number,number,592
talk,talk,592
means,mean,592
bat,bat,590
watched,watch,590
dogs,dog,589
horse,horse,589
hug,hug,588
color,color,588
used,use,587
game,game,586
watching,watch,585
meet,meet,584
line,line,580
free,free,580
second,second,579
bears,bear,573
subscribe,subscribe,571
peppa,peppa,570
candy,candy,568
arrived,arrive,567
mouth,mouth,567
star,star,565
near,near,565
needed,need,564
liked,like,563
truck,truck,562
running,run,562
held,hold,562
young,young,561
apple,apple,561
important,important,559
strange,strange,557
slowly,slowly,557
queen,queen,556
moment,moment,552
magical,magical,550
grass,grass,548
soft,soft,548
squirrel,squirrel,546
race,race,545
tomorrow,tomorrow,545
goodbye,goodbye,543
legs,leg,543
eating,eat,542
yelled,yell,542
bag,bag,542
street,street,542
talking,talk,541
city,city,541
ears,ear,541
elephant,elephant,540
reached,reach,539
learned,learn,538
park,park,538
cow,cow,537
valentine,valentine,537
matter,matter,537
easy,easy,536
peter,peter,534
move,move,534
named,name,534
helped,help,533
climbed,climb,533
boys,boy,531
seemed,seem,531
wings,wing,531
wear,wear,530
needs,need,529
welcome,welcome,528
anyone,anyone,528
rose,rose,528
pick,pick,528
years,year,528
takes,take,527
dr,dr,527
ghost,ghost,526
amazing,amazing,526
quick,quick,525
orange,orange,524
trick,trick,524
train,train,523
summer,summer,522
herself,herself,520
yourself,yourself,520
land,land,519
mess,mess,519
tooth,tooth,519
shook,shake,518
sam,sam,516
treat,treat,514
farmer,farmer,513
trouble,trouble,512
sounds,sound,512
mine,mine,511
asks,ask,508
spot,spot,507
taking,take,507
bigger,big,504
secret,secret,504
enjoy,enjoy,504
jesus,jesus,503
wide,wide,502
chair,chair,500
follow,follow,500
castle,castle,500
cheese,cheese,500
problem,problem,496
gift,gift,496
stick,stick,495
arms,arm,495
met,meet,495
played,play,494
money,money,493
tea,tea,493
rainbow,rainbow,490
laugh,laugh,489
six,six,487
copy,copy,487
nobody,nobody,487
visit,visit,486
road,road,486
thanksgiving,thanksgiving,486
sitting,sit,485
large,large,484
library,library,483
chicken,chicken,483
unicorn,unicorn,482
delicious,delicious,481
waited,wait,480
bath,bath,478
saying,say,477
huge,huge,477
clothes,clothe,477
flower,flower,474
mary,mary,474
worried,worried,474
caught,catch,474
stand,stand,474
below,below,473
doctor,doctor,472
cats,cat,472
picture,picture,470
dreams,dream,470
breath,breath,470
hill,hill,469
noticed,notice,469
child,child,469
woman,woman,468
lion,lion,467
upon,upon,467
became,become,467
breakfast,breakfast,467
spring,spring,466
stuff,stuff,463
grabbed,grab,462
space,space,461
milk,milk,460
tight,tight,459
glad,glad,458
shark,shark,458
wall,wall,458
pet,pet,457
actually,actually,457
spider,spider,456
happens,happen,456
um,um,455
ho,ho,452
h,h,452
woke,wake,451
boo,boo,447
times,time,445
myself,myself,445
purple,purple,445
bob,bob,444
splat,splat,444
art,art,444
buy,buy,443
worked,work,443
sand,sand,443
wet,wet,443
pizza,pizza,442
happen,happen,442
answer,answer,441
woods,wood,440
team,team,440
covered,cover,439
noise,noise,439
probably,probably,438
straight,straight,438
anymore,anymore,438
change,change,438
jim,jim,438
max,max,437
eye,eye,437
men,man,436
cookies,cookie,436
joy,joy,436
hit,hit,434
basket,basket,434
monsters,monster,433
count,count,433
ocean,ocean,431
cry,cry,430
followed,follow,430
lovely,lovely,429
finished,finish,429
piece,piece,429
terrible,terrible,429
shout,shout,427
cute,cute,427
sang,sing,425
toward,toward,424
early,early,424
step,step,424
llama,llama,423
lights,light,423
grumpy,grumpy,422
