Word_Corpus_All_Picturebooks,Lemma,Freq_Raw,Word_Narrative_Picturebooks,Lemma,Freq_Raw,Word_Informational_Picturebooks,Lemma,Freq_Raw
play,play,3053,long,long,2589,play,play,451
need,need,3042,am,be,2587,together,together,448
great,great,2997,cat,cat,2574,today,today,444
before,before,2994,need,need,2545,work,work,442
called,call,2974,tree,tree,2540,school,school,441
school,school,2962,saw,see,2539,sea,sea,438
okay,okay,2923,still,still,2527,got,get,436
still,still,2904,school,school,2521,fun,fun,434
tree,tree,2818,old,old,2482,keep,keep,432
only,only,2791,happy,happy,2476,which,which,431
cat,cat,2790,mr,mr,2419,fish,fish,429
happy,happy,2756,dad,dad,2417,night,night,429
old,old,2749,put,put,2416,does,do,427
put,put,2739,best,good,2392,every,every,424
every,every,2733,been,be,2344,hard,hard,419
best,good,2732,always,always,2331,different,different,415
saw,see,2726,only,only,2327,small,small,410
always,always,2721,friend,friend,2317,eyes,eye,406
dad,dad,2680,sure,sure,2316,green,green,404
been,be,2659,every,every,2309,most,most,404
water,water,2646,mother,mother,2293,give,give,403
sure,sure,2631,called,call,2291,life,life,401
today,today,2627,eat,eat,2270,white,white,401
mother,mother,2613,found,find,2245,great,great,400
three,three,2584,maybe,maybe,2225,blue,blue,398
mr,mr,2583,dog,dog,2207,use,use,397
friend,friend,2570,baby,baby,2193,sun,sun,397
eyes,eye,2554,today,today,2183,kind,kind,394
dog,dog,2518,eyes,eye,2148,ca,can,391
give,give,2503,people,people,2135,always,always,390
red,red,2501,head,head,2134,says,say,388
found,find,2501,three,three,2122,off,off,386
many,many,2500,tell,tell,2121,again,again,381
together,together,2495,bed,bed,2118,everyone,everyone,380
baby,baby,2495,ever,ever,2106,why,why,379
than,than,2487,give,give,2100,music,music,378
maybe,maybe,2441,took,take,2084,next,next,377
tell,tell,2433,door,door,2079,still,still,377
head,head,2418,thank,thank,2057,before,before,374
thank,thank,2413,together,together,2047,mom,mom,371
each,each,2409,red,red,2041,books,book,371
feel,feel,2368,miss,miss,2027,years,year,370
ever,ever,2352,wait,wait,2003,inside,inside,369
these,these,2350,please,please,1984,sometimes,sometimes,360
world,world,2323,should,should,1977,those,those,359
bed,bed,2270,thing,thing,1948,thank,thank,356
took,take,2268,soon,soon,1946,might,might,353
should,should,2261,than,than,1940,place,place,351
thing,thing,2260,while,while,1924,year,year,350
while,while,2226,water,water,1922,makes,make,348
wait,wait,2217,each,each,1884,end,end,345
door,door,2205,last,last,1872,best,good,340
please,please,2202,told,tell,1870,words,word,340
those,those,2189,must,must,1870,air,air,335
miss,miss,2189,cried,cry,1865,never,never,334
soon,soon,2179,ready,ready,1850,own,own,331
another,another,2171,another,another,1848,okay,okay,327
end,end,2170,those,those,1830,body,body,324
inside,inside,2141,end,end,1825,another,another,323
ready,ready,2139,room,room,1824,put,put,323
must,must,2121,heard,hear,1809,learn,learn,322
last,last,2099,knew,know,1805,four,four,320
work,work,2089,feel,feel,1800,mother,mother,320
told,tell,2083,started,start,1792,black,black,319
small,small,2070,boy,boy,1785,moon,moon,317
fish,fish,2069,morning,morning,1781,may,may,316
green,green,2061,inside,inside,1772,been,be,315
blue,blue,2028,man,man,1769,sure,sure,315
knew,know,2018,christmas,christmas,1753,thing,thing,312
family,family,2007,yeah,yeah,1710,tell,tell,312
man,man,1992,ran,run,1705,means,mean,312
yeah,yeah,1983,world,world,1704,dog,dog,311
started,start,1975,pete,pete,1697,plants,plant,310
heard,hear,1962,many,many,1687,try,try,310
room,room,1961,santa,santa,1677,winter,winter,310
morning,morning,1937,these,these,1672,children,child,306
name,name,1933,small,small,1660,light,light,305
cried,cry,1921,green,green,1657,special,special,303
boy,boy,1915,work,work,1647,baby,baby,302
until,until,1912,stop,stop,1646,while,while,302
keep,keep,1896,until,until,1645,asked,ask,302
also,also,1892,name,name,1642,trees,tree,300
try,try,1890,fish,fish,1640,show,show,300
hard,hard,1872,blue,blue,1630,being,be,298
its,its,1854,mama,mama,1625,others,other,295
stop,stop,1854,try,try,1580,snow,snow,295
place,place,1843,better,well,1576,favorite,favorite,295
better,well,1838,snow,snow,1537,name,name,291
christmas,christmas,1833,bad,bad,1529,ready,ready,289
snow,snow,1832,family,family,1528,house,house,286
food,food,1829,left,leave,1516,should,should,284
kind,kind,1805,gave,give,1508,head,head,284
ran,run,1805,place,place,1492,thought,think,281
children,child,1790,children,child,1484,happy,happy,280
favorite,favorite,1771,favorite,favorite,1476,tree,tree,278
sun,sun,1751,any,any,1474,fly,fly,278
might,might,1749,keep,keep,1464,lot,lot,274
books,book,1744,hard,hard,1453,went,go,273
pete,pete,1743,looking,look,1452,yeah,yeah,273
most,most,1735,wanted,want,1447,bear,bear,270
mama,mama,1733,looks,look,1445,teeth,tooth,269
any,any,1714,nice,nice,1434,days,day,269
which,which,1703,felt,feel,1431,lots,lot,268
special,special,1697,pig,pig,1417,old,old,267
left,leave,1696,began,begin,1417,high,high,267
looks,look,1695,kind,kind,1411,until,until,267
bad,bad,1694,hope,hope,1400,bats,bat,266
santa,santa,1690,might,might,1396,sky,sky,264
wanted,want,1685,everything,everything,1395,dad,dad,263
being,be,1679,special,special,1394,better,well,262
animals,animal,1666,tried,try,1393,part,part,260
gave,give,1660,along,along,1388,important,important,260
hope,hope,1645,sleep,sleep,1386,found,find,256
show,show,1642,being,be,1381,stay,stay,256
own,own,1628,idea,idea,1379,remember,remember,254
under,under,1613,books,book,1373,warm,warm,254
looking,look,1609,turned,turn,1372,came,come,253
everything,everything,1599,mouse,mouse,1372,friend,friend,253
felt,feel,1597,under,under,1371,five,five,253
nice,nice,1593,hey,hey,1367,tiny,tiny,252
white,white,1589,sun,sun,1354,land,land,252
along,along,1587,show,show,1342,must,must,251
sleep,sleep,1585,magic,magic,1332,feet,foot,250
once,once,1572,most,most,1331,color,color,250
began,begin,1556,once,once,1331,someone,someone,250
sky,sky,1546,girl,girl,1327,looks,look,250
sometimes,sometimes,1539,monster,monster,1319,ever,ever,246
year,year,1523,mean,mean,1315,cold,cold,246
tried,try,1516,own,own,1297,hope,hope,245
someone,someone,1512,party,party,1289,hands,hand,242
beautiful,beautiful,1505,beautiful,beautiful,1287,under,under,242
hey,hey,1500,sky,sky,1282,once,once,241
hear,hear,1499,hear,hear,1277,run,run,240
pig,pig,1497,mrs,mrs,1273,any,any,240
life,life,1482,which,which,1272,spot,spot,240
girl,girl,1478,king,king,1270,move,move,240
air,air,1478,fast,fast,1268,heart,heart,239
fast,fast,1478,bird,bird,1262,enough,enough,239
mean,mean,1478,someone,someone,1262,cats,cat,238
idea,idea,1477,rabbit,rabbit,1252,wanted,want,238
magic,magic,1473,dark,dark,1245,same,same,236
light,light,1470,father,father,1245,leaves,leave,236
lot,lot,1468,full,full,1240,cool,cool,236
turned,turn,1465,arthur,arthur,1239,ocean,ocean,233
father,father,1453,also,also,1229,helps,help,233
turn,turn,1451,face,face,1223,soon,soon,233
run,run,1451,finally,finally,1221,turn,turn,233
enough,enough,1448,turn,turn,1218,yellow,yellow,232
monster,monster,1444,food,food,1214,start,start,232
fly,fly,1444,hello,hello,1213,number,number,232
stay,stay,1442,run,run,1211,six,six,231
tiny,tiny,1439,enough,enough,1209,word,word,227
dark,dark,1434,suddenly,suddenly,1200,last,last,227
full,full,1434,kids,kid,1199,without,without,226
king,king,1433,outside,outside,1195,flowers,flower,224
different,different,1431,lot,lot,1194,money,money,223
kids,kid,1422,nothing,nothing,1193,man,man,223
mouse,mouse,1420,white,white,1188,kids,kid,223
bird,bird,1406,tiny,tiny,1187,hear,hear,222
may,may,1401,stay,stay,1186,eggs,egg,222
ask,ask,1399,ask,ask,1186,hot,hot,221
