Word_Corpus_All_Picturebooks,Lemma,Freq_Raw,Word_Narrative_Picturebooks,Lemma,Freq_Raw,Word_Informational_Picturebooks,Lemma,Freq_Raw
speedy,speedy,86,drum,drum,71,restaurant,restaurant,14
boing,boe,86,hundreds,hundred,71,downstairs,downstairs,14
worn,wear,86,inch,inch,71,vibes,vibe,14
factory,factory,85,chain,chain,71,moose,moose,14
wiped,wipe,85,taylor,taylor,71,lanterns,lantern,14
baskets,basket,85,mango,mango,71,powder,powder,14
scrub,scrub,85,wrapping,wrapping,71,juicy,juicy,14
rachel,rachel,85,turnip,turnip,71,chosen,choose,14
winds,wind,85,piggies,piggy,71,vet,vet,14
example,example,85,villagers,villager,71,activist,activist,14
pipe,pipe,85,attic,attic,71,none,none,14
nina,nina,85,valentines,valentine,71,rubbing,rub,14
thread,thread,85,pots,pot,71,whiskers,whisker,14
floats,float,85,chosen,choose,71,tables,table,14
bernard,bernard,85,saint,saint,71,guest,guest,14
poke,poke,85,grouchy,grouchy,70,nala,nala,14
celebrating,celebrate,85,teeny,teeny,70,popcorn,popcorn,14
helen,helen,85,knife,knife,70,atmosphere,atmosphere,14
september,september,85,potty,potty,70,languages,language,14
chosen,choose,85,paris,paris,70,release,release,14
tidy,tidy,85,slippers,slipper,70,grasses,grass,14
chain,chain,85,replies,reply,70,raccoon,raccoon,14
gum,gum,85,ordered,order,70,sh,sh,14
josh,josh,85,visitors,visitor,70,independence,independence,14
brightly,brightly,85,overhead,overhead,70,perform,perform,14
piles,pile,85,sale,sale,70,resting,rest,14
tommy,tommy,85,kit,kit,70,daytime,daytime,14
fisherman,fisherman,85,winds,wind,70,shorter,short,14
harm,harm,85,fins,fin,70,teeny,teeny,14
character,character,85,tickled,tickle,70,blossoms,blossom,14
burning,burn,84,obviously,obviously,70,card,card,14
pear,pear,84,arnie,arnie,70,races,race,14
liam,liam,84,rachel,rachel,70,toast,toast,14
schools,school,84,filling,fill,70,flags,flag,14
amanda,amanda,84,grape,grape,70,match,match,14
jingle,jingle,84,court,court,70,figured,figure,14
fork,fork,84,death,death,70,encouraged,encourage,14
pancake,pancake,84,martha,martha,70,social,social,14
twirled,twirl,84,english,english,70,competition,competition,14
received,receive,84,explains,explain,70,pushes,push,14
awoke,awake,84,crows,crow,69,ink,ink,14
dove,dove,84,jacob,jacob,69,period,period,14
stable,stable,84,guinea,guinea,69,oranges,orange,14
jamie,jamie,84,dolls,doll,69,encourage,encourage,14
belongs,belong,84,barry,barry,69,laughter,laughter,14
tiptoed,tiptoe,84,crunchy,crunchy,69,lid,lid,14
tomato,tomato,84,bethlehem,bethlehem,69,parades,parade,14
bull,bull,84,hoo,hoo,69,determination,determination,14
embarrassed,embarrassed,84,nonsense,nonsense,69,spacecraft,spacecraft,14
hopping,hop,84,chrysanthemum,chrysanthemum,69,poke,poke,14
camera,camera,84,expect,expect,69,chain,chain,14
bows,bow,84,married,marry,69,continues,continue,14
delivered,deliver,84,difference,difference,69,happier,happy,14
birth,birth,84,appreciate,appreciate,69,loudly,loudly,14
teeny,teeny,84,polite,polite,69,sized,sized,14
ships,ship,84,birdie,birdie,69,comfy,comfy,14
eli,eli,84,tennis,tennis,69,prayer,prayer,14
lance,lance,84,workshop,workshop,69,alarm,alarm,14
stockings,stocking,84,tina,tina,69,dingos,dingo,14
goal,goal,84,attack,attack,69,memories,memory,14
spiky,spiky,83,character,character,69,introduce,introduce,14
losing,lose,83,easier,easy,69,wrap,wrap,14
drip,drip,83,buzzing,buzzing,69,planned,plan,14
desmond,desmond,83,belt,belt,69,hears,hear,14
auntie,auntie,83,drinking,drink,69,directions,direction,14
fluff,fluff,83,crumbs,crumb,69,backward,backward,14
managed,manage,83,polynesia,polynesia,69,wondering,wonder,14
shrugged,shrug,83,rub,rub,69,artists,artist,14
squishy,squishy,83,becoming,become,68,recycling,recycling,14
koala,koala,83,throws,throw,68,strawberry,strawberry,14
hammer,hammer,83,spiky,spiky,68,el,el,14
rattle,rattle,83,goo,goo,68,materials,material,14
paddle,paddle,83,watches,watch,68,cultures,culture,14
critters,critter,83,begged,beg,68,washing,wash,14
sticking,stick,83,blueberries,blueberry,68,shed,shed,14
unfortunately,unfortunately,83,kidding,kid,68,swung,swing,14
freezing,freeze,83,flipped,flip,68,uss,uss,14
movies,movie,83,peppermint,peppermint,68,southern,southern,14
moaned,moan,83,harp,harp,68,skies,sky,14
dorothy,dorothy,83,seas,sea,68,panther,panther,14
surprises,surprise,83,plump,plump,68,lies,lie,14
explains,explain,83,believed,believe,68,equals,equal,14
serve,serve,83,bin,bin,68,pour,pour,14
villagers,villager,83,texas,texas,68,rude,rude,14
brushes,brush,83,climbs,climb,68,fence,fence,14
necklace,necklace,83,flock,flock,68,oscar,oscar,14
kill,kill,83,chomp,chomp,68,wednesday,wednesday,14
samuel,samuel,83,howl,howl,68,saturday,saturday,14
lane,lane,83,paddle,paddle,68,ostrich,ostrich,14
rubble,rubble,83,stir,stir,68,sudden,sudden,14
photo,photo,83,fries,fry,68,medical,medical,14
huff,huff,83,herd,herd,68,caterpillars,caterpillar,14
lunchbox,lunchbox,83,nasty,nasty,68,principles,principle,14
relief,relief,83,balance,balance,68,cloudy,cloudy,14
fills,fill,82,confident,confident,68,society,society,14
sprinkle,sprinkle,82,reply,reply,68,cage,cage,14
wagged,wag,82,sneaky,sneaky,67,cough,cough,14
educational,educational,82,mumbled,mumble,67,relatives,relative,14
enter,enter,82,puzzle,puzzle,67,worn,wear,14
carla,carla,82,pillows,pillow,67,mile,mile,14
spongebob,spongebob,82,screaming,scream,67,ben,ben,14
ad,ad,82,icy,icy,67,outdoors,outdoors,14
drinking,drink,82,fluttered,flutter,67,classes,class,14
greet,greet,82,petal,petal,67,marie,marie,14
squid,squid,82,tangled,tangle,67,seas,sea,14
jaws,jaw,82,weeds,weed,67,cloth,cloth,14
fastest,fast,82,swinging,swinge,67,cheetahs,cheetah,14
knife,knife,82,melon,melon,67,gloves,glove,14
rudy,rudy,82,paints,paint,67,major,major,14
seas,sea,82,classic,classic,67,faced,face,14
hairs,hair,82,homer,homer,67,olive,olive,14
coats,coat,82,vegetable,vegetable,67,performed,perform,14
freeze,freeze,82,seats,seat,67,bowls,bowl,14
sneezed,sneeze,82,spied,spy,67,slime,slime,14
mat,mat,82,farts,fart,67,diaper,diaper,14
nate,nate,82,dorothy,dorothy,67,kate,kate,14
east,east,82,breaks,break,67,ramadan,ramadan,14
olly,olly,82,lanterns,lantern,67,bumblebees,bumblebee,14
snoring,snore,82,desert,desert,67,plankton,plankton,14
chuckled,chuckle,82,sunglasses,sunglass,67,appears,appear,14
confidence,confidence,82,january,january,67,battle,battle,14
panic,panic,82,whipped,whip,67,bother,bother,14
splish,splish,82,inspired,inspire,67,shut,shut,14
climbs,climb,81,cuddly,cuddly,66,hatched,hatch,14
reef,reef,81,goldie,goldie,66,rode,ride,14
terribly,terribly,81,sneakers,sneaker,66,bosses,boss,14
twirl,twirl,81,australia,australia,66,spikes,spike,14
success,success,81,burning,burn,66,exist,exist,14
gordon,gordon,81,losing,lose,66,nan,nan,14
marvelous,marvelous,81,frustrated,frustrated,66,range,range,14
victoria,victoria,81,drawn,draw,66,cents,cent,14
engines,engine,81,factory,factory,66,brighter,bright,14
frustrated,frustrated,81,marley,marley,66,classmates,classmate,14
nod,nod,81,pepperoni,pepperoni,66,jewelry,jewelry,14
pattern,pattern,81,ike,ike,66,declared,declare,14
russell,russell,81,underground,underground,66,dwarf,dwarf,14
meets,meet,81,strawberries,strawberry,66,eyesight,eyesight,14
bar,bar,81,otilla,otilla,66,meals,meal,14
weekend,weekend,81,bowls,bowl,66,byrne,byrne,14
scooped,scoop,81,titus,titus,66,marsh,marsh,14
belt,belt,81,tweet,tweet,66,silver,silver,14
splashed,splash,81,wheat,wheat,66,explains,explain,13
lanterns,lantern,81,samuel,samuel,66,swift,swift,13
christopher,christopher,81,tess,tess,66,traveling,travel,13
watches,watch,81,decides,decide,66,highest,high,13
literally,literally,81,plates,plate,66,principle,principle,13
sunset,sunset,81,floof,floof,66,hollow,hollow,13
dancer,dancer,80,cassie,cassie,66,tomato,tomato,13
obviously,obviously,80,maker,maker,66,bikes,bike,13
warmth,warmth,80,barking,bark,66,nia,nia,13
patted,pat,80,shovel,shovel,66,tallest,tall,13
melissa,melissa,80,splish,splish,66,ghosts,ghost,13
anthony,anthony,80,learns,learn,66,brilliant,brilliant,13
greeted,greet,80,pretzel,pretzel,66,rico,rico,13
cooper,cooper,80,served,serve,66,gills,gill,13
inch,inch,80,benny,benny,66,features,feature,13
crunchy,crunchy,80,rumbled,rumble,65,hoped,hope,13
scent,scent,80,sofia,sofia,65,lean,lean,13
burrow,burrow,80,sofa,sofa,65,gum,gum,13
decorated,decorate,80,mercy,mercy,65,walker,walker,13
traps,trap,80,noon,noon,65,absolutely,absolutely,13
slippery,slippery,80,counter,counter,65,hannah,hannah,13
gear,gear,80,grub,grub,65,cuddle,cuddle,13
bowls,bowl,80,snore,snore,65,yuck,yuck,13
confident,confident,80,bobo,bobo,65,lawyer,lawyer,13
sneaky,sneaky,80,decorated,decorate,65,pupils,pupil,13
jimmy,jimmy,80,fried,fry,65,ache,ache,13
chameleon,chameleon,80,stickers,sticker,65,storytime,storytime,13
sofia,sofia,80,grabs,grab,65,organized,organize,13
squealed,squeal,80,scale,scale,65,fangs,fang,13
bay,bay,80,experience,experience,65,comb,comb,13
granddad,granddad,79,paused,pause,65,vietnam,vietnam,13
construction,construction,79,sliding,slide,65,growl,growl,13
twinkling,twinkle,79,petals,petal,65,captured,capture,13
sprang,spring,79,cones,cone,65,hardest,hard,13
hurts,hurt,79,logs,log,65,event,event,13
screaming,scream,79,nora,nora,65,paintings,painting,13
slippers,slipper,79,focus,focus,65,basically,basically,13
breaths,breath,79,fastest,fast,65,dough,dough,13
fail,fail,79,gardens,garden,65,duckling,duckle,13
ew,ew,79,pencils,pencil,65,pairs,pair,13
underpants,underpants,79,trains,train,65,related,relate,13
visitors,visitor,79,surprises,surprise,65,flashlight,flashlight,13
chips,chip,79,harvest,harvest,65,bloop,bloop,13
barney,barney,79,thrilled,thrill,65,beth,beth,13
hush,hush,79,mortimer,mortimer,65,eugene,eugene,13
crabs,crab,79,comet,comet,65,traffic,traffic,13
herd,herd,79,shines,shine,65,lips,lip,13
hank,hank,79,harm,harm,65,segregated,segregate,13
hated,hate,79,stopping,stop,65,canyon,canyon,13
judge,judge,79,rushing,rush,65,resources,resource,13
bars,bar,79,burned,burn,65,broom,broom,13
startled,startle,79,rug,rug,65,killed,kill,13
burp,burp,79,nibbled,nibble,64,imagined,imagine,13
leapt,leapt,79,snowmen,snowman,64,federal,federal,13
glide,glide,79,splendid,splendid,64,opportunities,opportunity,13
approached,approach,79,patty,patty,64,armor,armor,13
nancy,nancy,79,grumble,grumble,64,weak,weak,13
logs,log,79,flutter,flutter,64,celebrations,celebration,13
quarter,quarter,79,ned,ned,64,playlist,playlist,13
swinging,swinge,79,tucker,tucker,64,drinking,drink,13
howl,howl,79,post,post,64,tightly,tightly,13
ingredients,ingredient,79,lunchtime,lunchtime,64,receive,receive,13
goblins,goblin,78,treehouse,treehouse,64,saving,save,13
giraffes,giraffe,78,whoever,whoever,64,pan,pan,13
reaching,reach,78,elliot,elliot,64,daring,dare,13
weeds,weed,78,librarian,librarian,64,printables,printable,13
quanza,quanza,78,east,east,64,spain,spain,13
rug,rug,78,scattered,scatter,64,clam,clam,13
caleb,caleb,78,edwards,edwards,64,blew,blow,13
member,member,78,maid,maid,64,sneaky,sneaky,13
radio,radio,78,shelves,shelf,64,goose,goose,13
worker,worker,78,paid,pay,64,temple,temple,13
bambi,bambi,78,uhoh,uhoh,64,grey,grey,13
bumpy,bumpy,78,shame,shame,64,returns,return,13
replies,reply,78,bricks,brick,64,pablo,pablo,13
mitten,mitten,78,darted,dart,64,santa,santa,13
holidays,holiday,78,freezing,freeze,64,swordfish,swordfish,13
midas,midas,78,rivers,river,64,project,project,13
throws,throw,78,jason,jason,64,beating,beat,13
tunnels,tunnel,78,system,system,64,skeletons,skeleton,13
wheat,wheat,78,clearing,clearing,64,yard,yard,13
strangers,stranger,78,footprints,footprint,64,ribs,rib,13
clayton,clayton,78,seasons,season,64,spine,spine,13
spirits,spirit,78,educational,educational,64,soak,soak,13
sale,sale,78,bravely,bravely,64,thirsty,thirsty,13
spins,spin,78,yikes,yike,64,owner,owner,13
meaning,meaning,78,shoo,shoo,64,heritage,heritage,13
grizzly,grizzly,78,eee,eee,64,genesis,genesis,13
cheerful,cheerful,78,kangaroo,kangaroo,64,rush,rush,13
roads,road,78,france,france,64,yarn,yarn,13
breaking,break,78,dock,dock,64,jog,jog,13
van,van,78,jean,jean,64,hawaii,hawaii,13
ginger,ginger,78,burn,burn,64,nasa,nasa,13
expected,expect,78,common,common,64,electrons,electron,13
butt,butt,78,mashed,mashed,64,dingo,dingo,13
soul,soul,78,noodles,noodle,64,johnson,johnson,13
bin,bin,78,type,type,64,chewing,chew,13
petals,petal,78,pigeons,pigeon,64,ollie,ollie,13
spending,spend,78,fail,fail,64,cancer,cancer,13
dora,dora,78,godmother,godmother,64,hum,hum,13
player,player,77,throne,throne,63,swahili,swahili,13
kit,kit,77,hopes,hope,63,fluttering,flutter,13
seats,seat,77,peeking,peek,63,illness,illness,13
brownie,brownie,77,situation,situation,63,sour,sour,13
august,august,77,kindly,kindly,63,grandmas,grandma,13
learns,learn,77,edna,edna,63,stuffed,stuff,13
puzzle,puzzle,77,auntie,auntie,63,cocoon,cocoon,13
bethlehem,bethlehem,77,slipper,slipper,63,railroad,railroad,13
texas,texas,77,whoops,whoop,63,speeds,speed,13
interrupted,interrupt,77,celebrating,celebrate,63,rot,rot,13
record,record,77,slippery,slippery,63,argentina,argentina,13
carl,carl,77,sore,sore,63,pajamas,pajama,13
dexter,dexter,77,spelling,spelling,63,watches,watch,13
situation,situation,77,comb,comb,63,migration,migration,13
expect,expect,77,huffed,huff,63,cheetah,cheetah,13
pounds,pound,77,ally,ally,63,pebbles,pebble,13
sidewalk,sidewalk,77,enter,enter,63,rag,rag,13
jip,jip,77,brushing,brush,63,twisted,twist,13
doc,doc,77,readers,reader,63,rug,rug,13
drank,drink,77,scariest,scary,63,globe,globe,13
appears,appear,77,scent,scent,63,creeper,creeper,13
gildong,gildong,77,solved,solve,63,eyed,eyed,13
audience,audience,77,shone,shine,63,sadly,sadly,13
timmy,timmy,77,sneezy,sneezy,63,deb,deb,13
useful,useful,77,chips,chip,63,rip,rip,13
froze,freeze,77,shepherd,shepherd,63,gecko,gecko,13
curtains,curtain,77,peg,peg,63,moist,moist,13
pencils,pencil,77,georgie,georgie,63,unhappy,unhappy,13
petunia,petunia,77,opposite,opposite,63,precious,precious,13
grape,grape,77,collecting,collect,63,daily,daily,13
planning,plan,77,dragged,drag,63,pupa,pupa,13
wishing,wish,77,heh,heh,63,cuts,cut,13
cleo,cleo,77,wiggles,wiggles,63,pressure,pressure,13
gratitude,gratitude,76,adam,adam,63,scratch,scratch,13
tips,tip,76,breaking,break,63,wooden,wooden,13
sunglasses,sunglass,76,jamaa,jamaa,63,petals,petal,13
scaring,scare,76,appears,appear,63,legged,legged,13
drums,drum,76,bumpy,bumpy,63,violet,violet,13
bend,bend,76,kim,kim,63,danced,dance,13
burn,burn,76,steady,steady,63,handy,handy,13
hops,hop,76,drawer,drawer,63,roof,roof,13
objects,object,76,sprinkle,sprinkle,63,broccoli,broccoli,13
raindrops,raindrop,76,caused,cause,63,killer,killer,13
leads,lead,76,tentacles,tentacle,62,fifth,fifth,13
title,title,76,shady,shady,62,fork,fork,13
cones,cone,76,knocking,knock,62,yak,yak,13
doctors,doctor,76,critter,critter,62,bull,bull,13
ok,ok,76,freeze,freeze,62,pin,pin,13
vision,vision,76,alpaca,alpaca,62,beliefs,belief,13
writer,writer,76,zoomed,zoom,62,lazy,lazy,13
memories,memory,76,seymour,seymour,62,pounce,pounce,13
extraordinary,extraordinary,76,guards,guard,62,iron,iron,13
bricks,brick,76,deck,deck,62,chores,chore,13
cuddly,cuddly,76,miracle,miracle,62,volunteer,volunteer,13
base,base,76,warmth,warmth,62,lucy,lucy,13
beamed,beam,76,points,point,62,underwear,underwear,13
tuck,tuck,76,terrific,terrific,62,climbs,climb,13
comb,comb,76,ridiculous,ridiculous,62,pierre,pierre,13
lava,lava,76,diving,diving,62,grasslands,grassland,13
types,type,76,borrow,borrow,62,poisonous,poisonous,13
howled,howl,76,thirsty,thirsty,62,drift,drift,13
icing,ice,76,iron,iron,62,engineer,engineer,13
sip,sip,76,insisted,insist,62,splashing,splash,13
nasty,nasty,75,julian,julian,62,daylight,daylight,13
refused,refuse,75,boogie,boogie,62,chilly,chilly,13
thirsty,thirsty,75,screech,screech,62,role,role,13
merida,merida,75,nancy,nancy,62,marked,mark,12
kidding,kid,75,grinch,grinch,62,defend,defend,12
vine,vine,75,andrew,andrew,62,ending,end,12
scale,scale,75,hunting,hunt,62,banks,bank,12
warmer,warm,75,private,private,62,report,report,12
burned,burn,75,hooves,hoof,62,duty,duty,12
mothers,mother,75,flynn,flynn,62,robots,robot,12
crows,crow,75,mat,mat,62,waddle,waddle,12
stumbled,stumble,75,spending,spend,62,coco,coco,12
alphabet,alphabet,75,fuss,fuss,62,sweep,sweep,12
iron,iron,75,goal,goal,62,ceremony,ceremony,12
dolls,doll,75,memories,memory,62,trips,trip,12
tomatoes,tomato,75,soul,soul,61,drawings,drawing,12
ordered,order,75,flavor,flavor,61,wheat,wheat,12
peeked,peek,75,tool,tool,61,jan,jan,12
china,china,75,dressing,dress,61,abella,abella,12
mango,mango,75,judge,judge,61,junior,junior,12
tricky,tricky,75,glide,glide,61,activities,activity,12
post,post,75,prefer,prefer,61,uranus,uranus,12
frosty,frosty,75,salty,salty,61,pencils,pencil,12
classic,classic,75,confidence,confidence,61,heidi,heidi,12
tennis,tennis,75,firefighter,firefighter,61,messages,message,12
drawn,draw,75,camel,camel,61,kindergarten,kindergarten,12
tickled,tickle,75,rosa,rosa,61,earlier,early,12
gloria,gloria,74,reaching,reach,61,remain,remain,12
servant,servant,74,dolphins,dolphin,61,puppies,puppy,12
flamingos,flamingo,74,temper,temper,61,maple,maple,12
shovel,shovel,74,hurts,hurt,61,secrets,secret,12
wrapping,wrapping,74,arrives,arrive,61,fungus,fungus,12
series,series,74,ships,ship,61,mini,mini,12
hooves,hoof,74,bowed,bow,61,snowflake,snowflake,12
purpose,purpose,74,study,study,61,billions,billion,12
trains,train,74,hops,hop,61,draws,draw,12
tutu,tutu,74,mischief,mischief,61,bounces,bounce,12
stickers,sticker,74,menorah,menorah,61,medium,medium,12
begged,beg,74,gobbled,gobble,61,worst,bad,12
spelling,spelling,74,rumbling,rumble,61,knife,knife,12
formed,form,74,holidays,holiday,61,reads,read,12
overhead,overhead,74,caring,care,61,noah,noah,12
flopped,flop,74,cheering,cheer,61,overcome,overcome,12
attic,attic,74,lock,lock,61,sticking,stick,12
whipped,whip,74,crisp,crisp,61,dug,dig,12
goo,goo,74,superman,superman,61,opportunity,opportunity,12
sid,sid,74,leprechauns,leprechaun,61,mint,mint,12
gravy,gravy,74,mm,mm,61,cereal,cereal,12
sped,speed,74,insects,insect,61,grover,grover,12
dinos,dinos,74,september,september,61,sounded,sound,12
speech,speech,74,africa,africa,61,disciples,disciple,12
rip,rip,74,lump,lump,61,needles,needle,12
repeat,repeat,74,nervously,nervously,61,relaxing,relax,12
turnip,turnip,74,kelly,kelly,61,scarf,scarf,12
brushing,brush,74,terrified,terrify,61,sacred,sacred,12
decides,decide,74,beam,beam,61,piles,pile,12
carrabba,carrabba,74,scrambled,scramble,61,toot,toot,12
liberty,liberty,74,coats,coat,61,oven,oven,12
brighter,bright,74,blame,blame,61,dung,dung,12
shame,shame,74,drums,drum,61,raccoons,raccoon,12
gathering,gather,74,bossy,bossy,61,loose,loose,12
pit,pit,74,rip,rip,61,screaming,scream,12
hides,hide,74,snort,snort,61,unit,unit,12
fog,fog,74,trumpet,trumpet,61,spy,spy,12
pigeons,pigeon,74,brighter,bright,60,burn,burn,12
kindly,kindly,73,pray,pray,60,kamala,kamala,12
snout,snout,73,bar,bar,60,fixed,fix,12
throne,throne,73,movies,movie,60,beef,beef,12
sneakers,sneaker,73,kicking,kick,60,principal,principal,12
papers,paper,73,wobbly,wobbly,60,lorito,lorito,12
flock,flock,73,bench,bench,60,effort,effort,12
peppermint,peppermint,73,tops,top,60,christ,christ,12
flutter,flutter,73,boiled,boil,60,prince,prince,12
fried,fry,73,striped,stripe,60,valley,valley,12
seals,seal,73,dexter,dexter,60,florida,florida,12
plump,plump,73,roads,road,60,dances,dance,12
tangled,tangle,73,keeper,keeper,60,champion,champion,12
stem,stem,73,jobs,job,60,prison,prison,12
valentines,valentine,73,tock,tock,60,violent,violent,12
crops,crop,73,camera,camera,60,presentation,presentation,12
sore,sore,73,anthony,anthony,60,francisco,francisco,12
pilgrim,pilgrim,73,bouncy,bouncy,60,vacation,vacation,12
grouchy,grouchy,73,chirp,chirp,60,stems,stem,12
miracle,miracle,73,holy,holy,60,deeply,deeply,12
noodles,noodle,73,scaredy,scaredy,60,festival,festival,12
signed,sign,73,edward,edward,60,longest,long,12
crumbs,crumb,73,cell,cell,60,wool,wool,12
fluttered,flutter,73,blueie,blueie,60,hooves,hoof,12
policeman,policeman,73,stink,stink,60,firmly,firmly,12
nonsense,nonsense,73,candies,candy,60,sparkles,sparkles,12
lunchtime,lunchtime,73,cared,care,60,lasts,last,12
highest,high,72,sophia,sophia,60,pops,pop,12
stopping,stop,72,base,base,60,struggle,struggle,12
traveling,travel,72,trade,trade,60,worse,bad,12
panther,panther,72,cupboard,cupboard,60,illustrator,illustrator,12
paints,paint,72,tomatoes,tomato,60,majors,majors,12
service,service,72,suspicious,suspicious,60,drifting,drift,12
screech,screech,72,spectacular,spectacular,60,businesses,business,12
reaches,reach,72,flames,flame,60,beds,bed,12
yikes,yike,72,meg,meg,59,legend,legend,12
fries,fry,72,audience,audience,59,sprouts,sprout,12
zero,zero,72,vision,vision,59,hay,hay,12
spookley,spookley,72,slightly,slightly,59,hind,hind,12
eee,eee,72,non,non,59,swinging,swinge,12
invented,invent,72,glory,glory,59,festivals,festival,12
opposite,opposite,72,strike,strike,59,thump,thump,12
follows,follow,72,random,random,59,jail,jail,12
barry,barry,72,onions,onion,59,ponds,pond,12
mumbled,mumble,72,angela,angela,59,snug,snug,12
ziggy,ziggy,72,anne,anne,59,thorny,thorny,12
happier,happy,72,becomes,become,59,dives,dive,12
sliding,slide,72,mildred,mildred,59,sar,sar,12
superpower,superpower,72,october,october,59,craters,crater,12
striped,stripe,72,spit,spit,59,senator,senator,12
rows,row,72,loaded,load,59,decisions,decision,12
enemies,enemy,72,flag,flag,59,stare,stare,12
jean,jean,72,whispering,whisper,59,mummy,mummy,12
flames,flame,72,photo,photo,59,goats,goat,12
harp,harp,72,bound,bind,59,recognize,recognize,12
grandparents,grandparent,72,josh,josh,59,helmet,helmet,12
anxious,anxious,72,jaws,jaw,59,stress,stress,12
steel,steel,72,fireflies,firefly,59,jessie,jessie,12
etsy,etsy,72,bacon,bacon,59,warms,warm,12
stan,stan,72,highest,high,59,kittens,kitten,12
edward,edward,72,respect,respect,59,differently,differently,12
directions,direction,72,crawl,crawl,59,fascinating,fascinating,12
wiggles,wiggle,72,shooting,shoot,59,confident,confident,12
illustrations,illustration,71,prayed,pray,59,headed,head,12
beam,beam,71,carriage,carriage,59,neither,neither,12
critter,critter,71,potion,potion,59,bored,bored,12
martha,martha,71,bum,bum,59,eclipse,eclipse,12
robots,robot,71,firefighters,firefighter,59,dino,dino,12
borrow,borrow,71,marshall,marshall,59,crust,crust,12
rare,rare,71,ringo,ringo,59,scratching,scratch,12
tractor,tractor,71,emotions,emotion,59,accept,accept,12
weight,weight,71,axe,axe,59,website,website,12
camel,camel,71,success,success,59,links,link,12
matters,matter,71,heels,heel,59,flip,flip,12
official,official,71,gloria,gloria,59,develop,develop,12
leprechauns,leprechaun,71,grapes,grape,59,roses,rose,12
jacob,jacob,71,fills,fill,59,fairly,fairly,12
sofa,sofa,71,traveling,travel,59,speckled,speckle,12
librarian,librarian,71,thud,thud,59,borders,borders,12
poof,poof,71,burrow,burrow,59,flames,flame,12
chewing,chew,71,pajama,pajama,59,ping,ping,12
skeletons,skeleton,71,toss,toss,59,comment,comment,12
cheering,cheer,71,earlier,early,59,woo,woo,12
bikes,bike,71,hallway,hallway,59,marry,marry,12
dock,dock,71,robots,robot,59,scientific,scientific,12
warn,warn,71,willow,willow,59,cleaned,clean,12
jason,jason,71,extremely,extremely,58,photographs,photograph,12
steady,steady,71,interested,interested,58,columns,column,12
collecting,collect,71,skeletons,skeleton,58,atom,atom,12
stir,stir,71,workers,worker,58,recorder,recorder,12
thrilled,thrill,71,panther,panther,58,roaring,roar,12
tops,top,71,peaked,peak,58,depends,depend,12
spray,spray,71,harper,harper,58,villagers,villager,12
caused,cause,71,haha,haha,58,vulture,vulture,12
barking,bark,71,palm,palm,58,memory,memory,12
hoo,hoo,71,bookshelf,bookshelf,58,tribe,tribe,12
helpers,helper,71,happier,happy,58,searched,search,12
comet,comet,71,swirled,swirl,58,bells,bell,12
members,member,71,dandelion,dandelion,58,bacon,bacon,12
salty,salty,71,directions,direction,58,colonies,colony,12
peg,peg,71,bottles,bottle,58,graceful,graceful,12
solved,solve,71,shh,shh,58,striped,stripe,12
earlier,early,71,backwards,backwards,58,photograph,photograph,12
sophia,sophia,71,bathtub,bathtub,58,livy,livy,12
zoomed,zoom,71,barks,bark,58,definition,definition,12
deck,deck,71,curtain,curtain,58,doll,doll,12
kim,kim,71,alphabet,alphabet,58,labels,label,12
bacon,bacon,71,morris,morris,58,edward,edward,12
flamingo,flamingo,71,jellyfish,jellyfish,58,tear,tear,12
shone,shine,71,swooped,swoop,58,showers,shower,12
piggies,piggy,71,hank,hank,58,hose,hose,12
hopes,hope,70,melt,melt,58,coloring,color,12
noon,noon,70,monica,monica,58,thanked,thank,12
peeking,peek,70,squish,squish,58,towel,towel,12
flipped,flip,70,proper,proper,58,riddle,riddle,12
moms,mom,70,tricky,tricky,58,adding,add,12
arnie,arnie,70,technical,technical,58,cooler,cool,12
chirp,chirp,70,spare,spare,58,drivers,driver,12
pillows,pillow,70,gramps,gramps,58,italian,italian,12
bravely,bravely,70,mention,mention,58,moons,moon,12
mercy,mercy,70,tyrannosaurus,tyrannosaurus,58,quit,quit,12
reply,reply,70,ducky,ducky,58,embrace,embrace,12
clearing,clearing,70,tipped,tip,58,mittens,mitten,12
kicking,kick,70,ignore,ignore,58,belt,belt,12
q,q,70,latkes,latke,58,bricks,brick,12
fans,fan,70,ethan,ethan,58,thee,thee,12
prayed,pray,70,heap,heap,58,sigh,sigh,12
maker,maker,70,chewing,chew,58,towers,tower,12
arrives,arrive,70,ancient,ancient,58,vitamin,vitamin,12
unlike,unlike,70,bikes,bike,58,otherwise,otherwise,12
diving,diving,70,dodger,dodger,58,global,global,12
workshop,workshop,70,bony,bony,58,grove,grove,12
melon,melon,70,soared,soar,57,included,include,11
adam,adam,70,mulligan,mulligan,57,spaces,space,11
knocking,knock,70,stealing,steal,57,oak,oak,11
ink,ink,70,purpose,purpose,57,damon,damon,11
chrysanthemum,chrysanthemum,69,etsy,etsy,57,pods,pod,11
shallow,shallow,69,hiccups,hiccup,57,ornaments,ornament,11
spit,spit,69,pressed,press,57,reflect,reflect,11
birdie,birdie,69,useful,useful,57,goliath,goliath,11
tina,tina,69,miguel,miguel,57,talents,talent,11
georgie,georgie,69,jet,jet,57,pal,pal,11
godmother,godmother,69,dropping,drop,57,gerbils,gerbil,11
bookshelf,bookshelf,69,reader,reader,57,buckets,bucket,11
