word,lemma,freq
nice,nice,159
dogs,dog,159
became,become,159
car,car,158
eight,eight,158
planet,planet,158
gets,get,157
looking,look,157
eating,eat,156
fall,fall,156
whole,whole,156
morning,morning,156
sharks,shark,156
tall,tall,154
sad,sad,154
swim,swim,153
often,often,153
ways,way,153
wings,wing,153
heard,hear,153
sweet,sweet,152
feeling,feel,152
bed,bed,152
young,young,152
gave,give,152
rock,rock,152
hi,hi,152
girl,girl,151
face,face,151
anything,anything,150
almost,almost,150
born,bear,150
kindness,kindness,149
bit,bit,149
thanksgiving,thanksgiving,149
times,time,149
fire,fire,148
set,set,147
lives,live,147
mouth,mouth,147
states,states,147
t,t,147
uh,uh,146
actually,actually,146
grown,grown,145
plant,plant,145
written,write,144
bird,bird,144
c,c,143
else,else,143
done,do,143
across,across,143
count,count,142
playing,play,142
instead,instead,142
quiet,quiet,141
magic,magic,141
nose,nose,141
brown,brown,140
both,both,140
bears,bear,140
fact,fact,139
takes,take,139
bright,bright,139
began,begin,139
stories,story,139
pretty,pretty,138
illustrated,illustrate,138
rest,rest,138
helped,help,137
room,room,137
african,african,137
united,united,137
getting,get,136
sit,sit,136
clouds,cloud,136
stand,stand,135
become,become,135
real,real,135
stars,star,134
front,front,134
rain,rain,134
dream,dream,134
henry,henry,134
walk,walk,134
b,b,133
wow,wow,133
finally,finally,133
bugs,bug,133
jellyfish,jellyfish,133
box,box,133
large,large,133
hey,hey,133
sounds,sound,132
person,person,132
r,r,132
country,country,132
wild,wild,131
doing,do,131
hold,hold,131
clean,clean,130
learning,learn,130
boy,boy,130
picture,picture,130
babies,baby,129
garden,garden,129
thankful,thankful,129
thanks,thank,129
enjoyed,enjoy,129
seen,see,129
check,check,129
parents,parent,128
bigger,big,128
men,man,128
flying,fly,127
listen,listen,127
turtle,turtle,127
door,door,126
guess,guess,126
worked,work,126
near,near,126
monster,monster,125
wear,wear,125
flower,flower,125
ago,ago,125
brave,brave,125
meet,meet,124
class,class,123
tried,try,123
loud,loud,123
easy,easy,123
women,woman,123
leave,leave,123
jesus,jesus,122
fur,fur,122
insects,insect,121
ship,ship,121
scientists,scientist,121
jump,jump,121
kinds,kind,120
nothing,nothing,120
teacher,teacher,120
between,between,120
star,star,119
usually,usually,119
smile,smile,119
frog,frog,119
american,american,119
n,n,118
whale,whale,118
having,have,118
table,table,118
train,train,118
below,below,117
slowly,slowly,117
pilgrims,pilgrim,117
super,super,117
