word,lemma,freq
yellow,yellow,1060
walk,walk,1046
bright,bright,1039
sit,sit,1034
care,care,1033
watch,watch,1029
flowers,flower,1024
course,course,1023
pumpkin,pumpkin,1023
teacher,teacher,1018
call,call,1018
voice,voice,1017
ball,ball,1017
across,across,1016
bunny,bunny,1012
hands,hand,1012
egg,egg,1009
almost,almost,1009
true,true,1005
feeling,feel,1000
learn,learn,999
himself,himself,995
class,class,993
others,other,992
smiled,smile,991
believe,believe,991
brown,brown,986
dragon,dragon,986
playing,play,981
written,write,979
tail,tail,977
catch,catch,976
nose,nose,976
part,part,975
music,music,974
lost,lose,972
laughed,laugh,971
later,later,970
real,real,967
both,both,961
easter,easter,952
leave,leave,952
daddy,daddy,950
share,share,949
check,check,944
few,few,943
winter,winter,942
fall,fall,942
enjoyed,enjoy,941
wrong,wrong,940
comes,come,939
flew,fly,931
quiet,quiet,928
loves,love,927
hungry,hungry,924
guess,guess,924
front,front,924
super,super,924
mommy,mommy,922
garden,garden,921
though,though,912
pink,pink,911
filled,fill,909
means,mean,904
goes,go,903
worry,worry,902
instead,instead,902
scary,scary,900
years,year,898
car,car,897
close,close,897
smile,smile,897
god,god,894
forest,forest,893
stopped,stop,891
wants,want,889
papa,papa,889
having,have,889
wind,wind,887
rock,rock,886
cake,cake,883
job,job,881
window,window,881
hi,hi,880
dinner,dinner,875
fox,fox,874
happened,happen,873
dance,dance,871
safe,safe,870
stories,story,869
birds,bird,867
fire,fire,866
jack,jack,862
strong,strong,861
duck,duck,860
brought,bring,857
funny,funny,852
page,page,843
pulled,pull,840
lady,lady,840
bring,bring,839
color,color,838
word,word,837
giant,giant,831
frog,frog,828
forget,forget,826
decided,decide,826
rest,rest,825
number,number,824
important,important,819
fine,fine,818
tall,tall,814
loud,loud,813
jumped,jump,810
silly,silly,807
table,table,803
everybody,everybody,802
yet,yet,802
gets,get,802
opened,open,799
stars,star,795
alone,alone,795
hold,hold,794
tom,tom,790
floor,floor,787
surprise,surprise,785
ate,eat,781
flying,fly,779
na,to,779
already,already,778
paper,paper,778
dinosaur,dinosaur,774
move,move,774
witch,witch,773
gon,go,773
land,land,771
bat,bat,771
waiting,wait,769
talk,talk,768
mind,mind,768
wonderful,wonderful,768
hide,hide,767
gold,gold,766
grew,grow,766
used,use,763
sing,sing,760
brave,brave,756
lunch,lunch,755
parents,parent,754
past,past,754
shoes,shoe,753
dream,dream,751
rain,rain,749
dogs,dog,748
spot,spot,747
free,free,747
afraid,afraid,741
legs,leg,739
clean,clean,737
round,round,736
quickly,quickly,736
listen,listen,736
busy,busy,734
wolf,wolf,732
bus,bus,731
lived,live,729
smell,smell,728
cream,cream,726
trying,try,723
